heldout,train_experiments,method,representation,n_real_train_windows,n_aug,n_aug_positive,n_aug_negative,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330D,TS0330G+TS0330H,real_only,temperature,64,0,0,0,32,7,1.0,1.0,0.6086956521739131,0.8200000000000001
TS0330D,TS0330G+TS0330H,real_only,pressure_absolute,64,0,0,0,32,7,0.4285714285714285,0.5309851554637428,0.358974358974359,0.5
TS0330D,TS0330G+TS0330H,real_only,pressure_shape,64,0,0,0,32,7,0.5028571428571429,0.4496683577222626,0.25,0.4342857142857143
TS0330D,TS0330G+TS0330H,real_only,fusion_absolute,64,0,0,0,32,7,0.8228571428571428,0.7040052053209948,0.0,0.5
TS0330D,TS0330G+TS0330H,real_only,fusion_shape,64,0,0,0,32,7,0.8628571428571428,0.5660173160173161,0.5,0.72
TS0330D,TS0330G+TS0330H,classical_classmatched,temperature,64,64,17,47,32,7,1.0,1.0,0.6086956521739131,0.8200000000000001
TS0330D,TS0330G+TS0330H,classical_classmatched,pressure_absolute,64,64,17,47,32,7,0.4285714285714285,0.5309851554637428,0.358974358974359,0.5
TS0330D,TS0330G+TS0330H,classical_classmatched,pressure_shape,64,64,17,47,32,7,0.2171428571428571,0.1606844035840435,0.0909090909090909,0.2914285714285714
TS0330D,TS0330G+TS0330H,classical_classmatched,fusion_absolute,64,64,17,47,32,7,0.8285714285714286,0.7069291819291819,0.0,0.5
TS0330D,TS0330G+TS0330H,classical_classmatched,fusion_shape,64,64,17,47,32,7,0.8228571428571428,0.5380952380952381,0.5,0.72
TS0330D,TS0330G+TS0330H,racdiff,temperature,64,64,17,47,32,7,1.0,1.0,0.6363636363636364,0.8400000000000001
TS0330D,TS0330G+TS0330H,racdiff,pressure_absolute,64,64,17,47,32,7,0.4057142857142857,0.3547946792732666,0.358974358974359,0.5
TS0330D,TS0330G+TS0330H,racdiff,pressure_shape,64,64,17,47,32,7,0.3714285714285714,0.2097655704510543,0.3,0.5142857142857142
TS0330D,TS0330G+TS0330H,racdiff,fusion_absolute,64,64,17,47,32,7,0.7942857142857143,0.6891156462585033,0.0,0.5
TS0330D,TS0330G+TS0330H,racdiff,fusion_shape,64,64,17,47,32,7,0.8971428571428571,0.620970695970696,0.56,0.78
TS0330E,TS0330B+TS0330C,real_only,temperature,74,0,0,0,39,16,1.0,1.0,0.9696969696969696,0.9782608695652174
TS0330E,TS0330B+TS0330C,real_only,pressure_absolute,74,0,0,0,39,16,0.7282608695652174,0.5810329426116165,0.0,0.5
TS0330E,TS0330B+TS0330C,real_only,pressure_shape,74,0,0,0,39,16,0.2690217391304347,0.4011835285179456,0.2777777777777778,0.3301630434782608
TS0330E,TS0330B+TS0330C,real_only,fusion_absolute,74,0,0,0,39,16,1.0,1.0,0.0,0.5
TS0330E,TS0330B+TS0330C,real_only,fusion_shape,74,0,0,0,39,16,0.9293478260869564,0.907418594047851,0.7878787878787878,0.8192934782608696
TS0330E,TS0330B+TS0330C,classical_classmatched,temperature,74,10,0,10,39,16,1.0,1.0,0.9696969696969696,0.9782608695652174
TS0330E,TS0330B+TS0330C,classical_classmatched,pressure_absolute,74,10,0,10,39,16,0.8315217391304348,0.8170262896825397,0.0,0.5
TS0330E,TS0330B+TS0330C,classical_classmatched,pressure_shape,74,10,0,10,39,16,0.2608695652173913,0.3984434581308164,0.2631578947368421,0.2866847826086957
TS0330E,TS0330B+TS0330C,classical_classmatched,fusion_absolute,74,10,0,10,39,16,1.0,1.0,0.5454545454545454,0.6875
